job_title,company,location,job_type,remote,salary,date_posted
Data Analyst,Acme Corp,New York,Full-time,No,75000,2026-05-02
Data Scientist,Acme Corp,New York,Full-time,Yes,110000,2026-05-04
Backend Engineer,Nimbus Tech,San Francisco,Full-time,Yes,135000,2026-05-06
Frontend Engineer,Nimbus Tech,San Francisco,Full-time,Yes,120000,2026-05-06
Data Analyst,Bluewave Retail,Chicago,Full-time,No,68000,2026-05-08
Machine Learning Engineer,Orbit AI,Austin,Full-time,Yes,145000,2026-05-09
Business Analyst,Bluewave Retail,Chicago,Full-time,No,72000,2026-05-10
DevOps Engineer,Nimbus Tech,San Francisco,Full-time,Yes,128000,2026-05-11
Data Engineer,Orbit AI,Austin,Full-time,Yes,132000,2026-05-12
Product Manager,Acme Corp,New York,Full-time,No,115000,2026-05-13
Data Analyst,Orbit AI,Austin,Contract,Yes,60000,2026-05-14
UX Designer,Nimbus Tech,San Francisco,Full-time,Yes,98000,2026-05-15
Data Scientist,Bluewave Retail,Chicago,Full-time,No,105000,2026-05-16
Software Engineer,Acme Corp,New York,Full-time,No,118000,2026-05-17
Data Analyst,Greenfield Logistics,Denver,Part-time,No,42000,2026-05-18
Data Engineer,Bluewave Retail,Chicago,Full-time,No,101000,2026-05-19
Machine Learning Engineer,Nimbus Tech,San Francisco,Full-time,Yes,152000,2026-05-20
Business Analyst,Greenfield Logistics,Denver,Full-time,No,71000,2026-05-21
Backend Engineer,Orbit AI,Austin,Full-time,Yes,138000,2026-05-22
Data Analyst,Nimbus Tech,San Francisco,Full-time,Yes,89000,2026-05-23
Marketing Analyst,Acme Corp,New York,Full-time,No,65000,2026-05-24
Data Scientist,Orbit AI,Austin,Full-time,Yes,142000,2026-05-25
QA Engineer,Bluewave Retail,Chicago,Full-time,No,78000,2026-05-26
Data Analyst,Greenfield Logistics,Denver,Full-time,No,66000,2026-05-27
Product Manager,Orbit AI,Austin,Full-time,Yes,125000,2026-05-28
Data Engineer,Acme Corp,New York,Full-time,No,108000,2026-05-29
Frontend Engineer,Bluewave Retail,Chicago,Contract,No,85000,2026-05-30
Data Analyst,Nimbus Tech,San Francisco,Full-time,Yes,92000,2026-06-01
Software Engineer,Orbit AI,Austin,Full-time,Yes,130000,2026-06-02
Business Analyst,Acme Corp,New York,Full-time,No,74000,2026-06-03
Data Scientist,Greenfield Logistics,Denver,Full-time,No,99000,2026-06-04
DevOps Engineer,Orbit AI,Austin,Full-time,Yes,133000,2026-06-05
Data Analyst,Bluewave Retail,Chicago,Full-time,No,70000,2026-06-06
UX Designer,Acme Corp,New York,Full-time,No,94000,2026-06-07
Data Engineer,Nimbus Tech,San Francisco,Full-time,Yes,125000,2026-06-08
Machine Learning Engineer,Greenfield Logistics,Denver,Full-time,No,118000,2026-06-09
